         AGI  pexempt  stdded  taxinc  tax-wo-credits  inctax  paytax  ataxinc
0          0        0       0       0               0       0       0        0
1          0        0       0       0               0       0       0        0
2          0        0       0       0               0       0       0        0
3          0        0       0       0               0       0       0        0
4      60000        0   31227   28773            3029    -898    9180    56308
5          0        0       0       0               0       0       0        0
6     180000        0   56209  123791           14699    8699   27540   157531
7          0        0       0       0               0       0       0        0
8     240000        0   43718  196282           29361   23361   36720   198279
9     600000        0   37473  562527          136039  132039   66067   434207
sums 1080000        0  168627  911373          183129  163202  139507   846325
